the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.78201124893587 40.728825838455236),Strada,4433043,-73.7820112489,40.7288258385,Active
POINT (-73.84158356662853 40.721578602665204),Strada,4053081,-73.8415835666,40.7215786027,Active
POINT (-73.84053955581456 40.71855585271094),Strada,4053102,-73.8405395558,40.7185558527,Active
POINT (-73.85549365166293 40.72071861086951),Strada,4053094,-73.8554936517,40.7207186109,Active
POINT (-73.8255908412463 40.75071186435627),Strada,4513042,-73.8255908412,40.7507118644,Inactive
POINT (-73.80529793217471 40.721086734462894),Strada,4433054,-73.8052979322,40.7210867345,Active
POINT (-73.99558630480928 40.716793602397466),Strada,1243139,-73.9955863048,40.7167936024,Active
POINT (-73.89267602909533 40.700895573061956),Strada,4363003,-73.8926760291,40.7008955731,Active
POINT (-73.89190598558939 40.701062576542995),Strada,4363005,-73.8919059856,40.7010625765,Active
POINT (-73.82884511153733 40.763795789498026),Strada,4063011,-73.8288451115,40.7637957895,Active
POINT (-73.83427651577883 40.71759520030888),Strada,4043055,-73.8342765158,40.7175952003,Planned
POINT (-73.83450921195002 40.76296379572683),Strada,4063053,-73.834509212,40.7629637957,Active
POINT (-73.90750495144748 40.6999264343217),Strada,4093092,-73.9075049514,40.6999264343,Active
POINT (-73.83352389654712 40.76234683711025),Strada,4063055,-73.8335238965,40.7623468371,Active
POINT (-73.96623101261974 40.77127247626214),Strada,1183020,-73.9662310126,40.7712724763,Active
POINT (-73.96119157380555 40.77686709658627),Strada,1183049,-73.9611915738,40.7768670966,Active
POINT (-73.9685650448923 40.767641706092824),Strada,1183030,-73.9685650449,40.7676417061,Active
POINT (-73.95772213850333 40.776708115059996),Strada,1193009,-73.9577221385,40.7767081151,Active
POINT (-73.95810808278486 40.77556726879321),Strada,1193015,-73.9581080828,40.7755672688,Active
POINT (-73.96059247279106 40.77249053256437),Strada,1193042,-73.9605924728,40.7724905326,Active
POINT (-73.9775859423276 40.68973610839466),Strada,3013083,-73.9775859423,40.6897361084,Active
POINT (-73.98635847629588 40.68879688118531),Strada,3013646,-73.9863584763,40.6887968812,Active
POINT (-73.91405322340458 40.66913383077492),Strada,3033024,-73.9140532234,40.6691338308,Active
POINT (-73.94872183235353 40.63267087915604),Strada,3043063,-73.9487218324,40.6326708792,Active
POINT (-73.95758517437157 40.64536959541599),Strada,3043090,-73.9575851744,40.6453695954,Active
POINT (-73.95849057687575 40.64993960906027),Strada,3043105,-73.9584905769,40.6499396091,Active
POINT (-73.82288343319031 40.76462719279578),Strada,4063035,-73.8228834332,40.7646271928,Active
POINT (-73.8209583477564 40.765050776043246),Strada,4063041,-73.8209583478,40.765050776,Active
POINT (-73.82373785297412 40.76553633188376),Strada,4063047,-73.823737853,40.7655363319,Active
POINT (-73.82673181140436 40.7591069724693),Strada,4063084,-73.8267318114,40.7591069725,Active
POINT (-73.8266903675786 40.75829511243721),Strada,4063109,-73.8266903676,40.7582951124,Active
POINT (-73.90724025004464 40.76019660651319),Strada,4343120,-73.90724025,40.7601966065,Active
POINT (-73.83304433704706 40.75865244037117),Strada,4063070,-73.833044337,40.7586524404,Active
POINT (-73.91771056813049 40.753949443385196),Strada,4343124,-73.9177105681,40.7539494434,Active
POINT (-73.82941814734635 40.757437897938125),Strada,4063080,-73.8294181473,40.7574378979,Inactive
POINT (-73.91870679500387 40.75398042575993),Strada,4343129,-73.918706795,40.7539804258,Active
POINT (-73.92826473707775 40.7521408536132),Strada,4343135,-73.9282647371,40.7521408536,Active
POINT (-73.92961906019714 40.75211669823557),Strada,4343136,-73.9296190602,40.7521166982,Active
POINT (-73.77824898425662 40.73011174034901),Strada,4433069,-73.7782489843,40.7301117403,Active
POINT (-73.83175236355406 40.75997480310905),Strada,4813003,-73.8317523636,40.7599748031,Active
