the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.86517020266234 40.6770120488885),Strada,3773004,-73.8651702027,40.6770120489,Active
POINT (-73.9250406819429 40.76123920493658),Strada,4953003,-73.9250406819,40.7612392049,Active
POINT (-73.85479441192734 40.727926680024865),Strada,4173077,-73.8547944119,40.72792668,Active
POINT (-73.8607626988616 40.73059678692016),Strada,4173097,-73.8607626989,40.7305967869,Active
POINT (-73.82577820994788 40.685706202413975),Strada,4293047,-73.8257782099,40.6857062024,Active
POINT (-73.80634300493357 40.76344296371756),Strada,4283067,-73.8063430049,40.7634429637,Active
POINT (-73.91467777868934 40.74399766728737),Strada,4203004,-73.9146777787,40.7439976673,Active
POINT (-73.82008171443317 40.68755525342167),Strada,4293085,-73.8200817144,40.6875552534,Active
POINT (-73.85617773844531 40.692432327586616),Strada,4313053,-73.8561777384,40.6924323276,Active
POINT (-73.89772802715171 40.746125084149156),Strada,4203041,-73.8977280272,40.7461250841,Active
POINT (-73.85794281351274 40.69264334191332),Strada,4313022,-73.8579428135,40.6926433419,Active
POINT (-73.88350336093048 40.756025615302946),Strada,4391228,-73.8835033609,40.7560256153,Active
POINT (-73.8220686199835 40.72701631604036),Strada,4512449,-73.82206862,40.727016316,Active
POINT (-73.94806551389595 40.58369558288005),Strada,3343051,-73.9480655139,40.5836955829,Active
POINT (-73.78271336428362 40.75748541276249),Strada,4283023,-73.7827133643,40.7574854128,Active
POINT (-73.89917185614424 40.74633062636507),Strada,4203045,-73.8991718561,40.7463306264,Active
POINT (-73.84295336047713 40.685199672467924),Strada,4293012,-73.8429533605,40.6851996725,Active
POINT (-73.81967923633441 40.68790986146386),Strada,4293062,-73.8196792363,40.6879098615,Active
POINT (-73.84448117732443 40.721837446309664),Strada,4053083,-73.8444811773,40.7218374463,Active
POINT (-73.902263143934 40.70053179007308),Strada,4093023,-73.9022631439,40.7005317901,Active
POINT (-73.7513408640069 40.603340991809425),Strada,4113104,-73.751340864,40.6033409918,Active
POINT (-73.8479065278914 40.72153205639762),Strada,4053044,-73.8479065279,40.7215320564,Active
POINT (-73.87559444019611 40.75060981240808),Strada,4123018,-73.8755944402,40.7506098124,Active
POINT (-73.88988005308784 40.7494037845859),Strada,4123055,-73.8898800531,40.7494037846,Active
POINT (-73.90100489241155 40.700542721272164),Strada,4093016,-73.9010048924,40.7005427213,Active
POINT (-73.83082645054353 40.75764590348112),Strada,4063077,-73.8308264505,40.7576459035,Inactive
POINT (-73.89837445894956 40.70067614775683),Strada,4093057,-73.8983744589,40.7006761478,Active
POINT (-73.876328392575 40.750642330327345),Strada,4123012,-73.8763283926,40.7506423303,Active
POINT (-73.70804572901889 40.73729098052895),Strada,4473136,-73.708045729,40.7372909805,Active
POINT (-73.71818262723464 40.743842297263406),Strada,4473114,-73.7181826272,40.7438422973,Active
POINT (-73.99685510545568 40.713422989835344),Strada,1023007,-73.9968551055,40.7134229898,Active
POINT (-73.96145027910649 40.81038092621905),Strada,1389709,-73.9614502791,40.8103809262,Active
POINT (-73.89731938898738 40.707781956480915),Strada,4263028,-73.897319389,40.7077819565,Active
POINT (-74.00414800595091 40.70609201731941),Strada,1483028,-74.004148006,40.7060920173,Active
POINT (-73.83825573141205 40.69606081799223),Strada,4463008,-73.8382557314,40.696060818,Active
POINT (-74.00899140107683 40.70576761801662),Strada,1483047,-74.0089914011,40.705767618,Active
POINT (-73.99355086997309 40.73257034654217),Strada,1473061,-73.99355087,40.7325703465,Active
POINT (-73.88405905166361 40.85409495305679),Strada,2131169,-73.8840590517,40.8540949531,Active
POINT (-73.88671053474647 40.85665513195325),Strada,2131196,-73.8867105347,40.856655132,Active
POINT (-73.88862572169015 40.85589841371367),Strada,2131183,-73.8886257217,40.8558984137,Active
POINT (-73.84259475545643 40.84110316645527),Strada,2162800,-73.8425947555,40.8411031665,Active
POINT (-73.97182811307427 40.67505383501959),Strada,3249907,-73.9718281131,40.675053835,Active
POINT (-73.98338966446937 40.664856019520435),Strada,3179761,-73.9833896645,40.6648560195,Active
POINT (-73.74321728253425 40.73047282987215),Strada,4303003,-73.7432172825,40.7304728299,Active
POINT (-73.87338855484369 40.73283175441196),Strada,4413035,-73.8733885548,40.7328317544,Active
POINT (-73.96672115450795 40.576386104222365),Strada,3083004,-73.9667211545,40.5763861042,Active
POINT (-73.95734925364643 40.57825373291648),Strada,3083032,-73.9573492536,40.5782537329,Active
POINT (-73.8305896628412 40.757897144451036),Strada,4873007,-73.8305896628,40.7578971445,Inactive
POINT (-73.77119574498076 40.65837267609399),Strada,4483105,-73.771195745,40.6583726761,Active
POINT (-73.93163031873307 40.75208191634915),Strada,4343138,-73.9316303187,40.7520819163,Active
POINT (-73.78217838977667 40.72905102596046),Strada,4433011,-73.7821783898,40.729051026,Active
POINT (-73.86905791997798 40.72385658039029),Strada,4493125,-73.86905792,40.7238565804,Active
POINT (-73.80488562025903 40.73228905059016),Strada,4423106,-73.8048856203,40.7322890506,Active
POINT (-73.818200348884 40.70233615106493),Strada,4323137,-73.8182003489,40.7023361511,Active
POINT (-73.90927043574486 40.77030299983085),Strada,4183011,-73.9092704357,40.7703029998,Active
POINT (-73.78764392395851 40.72698146547236),Strada,4433033,-73.787643924,40.7269814655,Active
POINT (-73.76887073253363 40.75921563129695),Strada,4213040,-73.7688707325,40.7592156313,Active
POINT (-73.77220413082127 40.76655691120481),Strada,4213079,-73.7722041308,40.7665569112,Active
POINT (-73.87066531228174 40.726654314332535),Strada,4493119,-73.8706653123,40.7266543143,Active
POINT (-73.81885327787631 40.709197363162694),Strada,4323106,-73.8188532779,40.7091973632,Active
POINT (-73.77030617964691 40.760294452447674),Strada,4213034,-73.7703061796,40.7602944524,Active
POINT (-73.83542671686442 40.76286750150481),Strada,4933001,-73.8354267169,40.7628675015,Active
POINT (-73.70194583214985 40.75187574277823),Strada,4473122,-73.7019458321,40.7518757428,Active
POINT (-73.75397817794696 40.60348359611567),Strada,4823003,-73.7539781779,40.6034835961,Active
POINT (-73.96638551678353 40.794250528334594),Strada,1033003,-73.9663855168,40.7942505283,Active
POINT (-73.84428934427889 40.67704373215813),Strada,4443164,-73.8442893443,40.6770437322,Active
POINT (-73.9833156009401 40.76680875780631),Strada,1403025,-73.9833156009,40.7668087578,Active
POINT (-73.98956497872474 40.76216339386992),Strada,1403056,-73.9895649787,40.7621633939,Active
POINT (-73.87159860946745 40.73356667344671),Strada,4413043,-73.8715986095,40.7335666734,Active
POINT (-73.8737806934139 40.7347423904317),Strada,4413045,-73.8737806934,40.7347423904,Inactive
POINT (-73.87974432839205 40.7415188256254),Strada,4413107,-73.8797443284,40.7415188256,Active
POINT (-73.84584603019418 40.67997955605255),Strada,4443069,-73.8458460302,40.6799795561,Active
POINT (-73.83981887547742 40.6954271493767),Strada,4463006,-73.8398188755,40.6954271494,Active
POINT (-73.73654427774659 40.71812252325769),Strada,4303016,-73.7365442777,40.7181225233,Active
POINT (-73.73894070035387 40.66073875250486),Strada,4163106,-73.7389407004,40.6607387525,Active
POINT (-73.84740249957169 40.78418011867859),Strada,4373113,-73.8474024996,40.7841801187,Active
POINT (-73.9027537722816 40.700528726969594),Strada,4093111,-73.9027537723,40.700528727,Active
POINT (-73.71283384656694 40.74670619299421),Strada,4473107,-73.7128338466,40.746706193,Active
POINT (-73.74828559946197 40.7680154152906),Strada,4333105,-73.7482855995,40.7680154153,Active
POINT (-73.98402592743882 40.74983934893553),Strada,1443150,-73.9840259274,40.7498393489,Active
POINT (-73.71280180197886 40.74645748284029),Strada,4473128,-73.712801802,40.7464574828,Active
POINT (-74.00423782640952 40.719794633080916),Strada,1113021,-74.0042378264,40.7197946331,Active
POINT (-73.98192987919629 40.776749171078635),Strada,1083027,-73.9819298792,40.7767491711,Active
POINT (-73.98108945227594 40.78223093255396),Strada,1083056,-73.9810894523,40.7822309326,Active
POINT (-74.00130664236045 40.60621596816004),Strada,3073097,-74.0013066424,40.6062159682,Active
POINT (-73.98995897889007 40.753944633914934),Strada,1443036,-73.9899589789,40.7539446339,Active
POINT (-73.9939215144121 40.754924109926364),Strada,1443092,-73.9939215144,40.7549241099,Active
POINT (-74.0107123445702 40.63045036264393),Strada,3443006,-74.0107123446,40.6304503626,Active
POINT (-73.97770435577253 40.78662079660585),Strada,1083071,-73.9777043558,40.7866207966,Active
POINT (-73.8921549134752 40.74886812552586),Strada,4123068,-73.8921549135,40.7488681255,Active
POINT (-73.98131259947606 40.614085375268495),Strada,3133002,-73.9813125995,40.6140853753,Active
POINT (-73.771438271496 40.76536707376691),Strada,4213074,-73.7714382715,40.7653670738,Active
POINT (-73.84269503713118 40.72061039147235),Strada,4053062,-73.8426950371,40.7206103915,Active
POINT (-73.95981760180473 40.65309237774368),Strada,3733002,-73.9598176018,40.6530923777,Active
POINT (-73.9029657680063 40.6463413031559),Strada,3863006,-73.902965768,40.6463413032,Active
POINT (-73.7715622733855 40.76358474512555),Strada,4213014,-73.7715622734,40.7635847451,Active
POINT (-73.80068250076839 40.72287837100368),Strada,4433048,-73.8006825008,40.722878371,Active
POINT (-73.80983691367784 40.719927666396295),Strada,4433057,-73.8098369137,40.7199276664,Active
POINT (-73.99698077224869 40.712446765000585),Strada,1023002,-73.9969807722,40.712446765,Active
POINT (-73.91160211704297 40.77439454877675),Strada,4853002,-73.911602117,40.7743945488,Active
POINT (-73.98580970902802 40.722787248376385),Strada,1133094,-73.985809709,40.7227872484,Active
POINT (-73.93849067818728 40.84216386621198),Strada,1058292,-73.9384906782,40.8421638662,Active
POINT (-73.93253285288979 40.85079000707343),Strada,1058324,-73.9325328529,40.8507900071,Active
POINT (-73.92848722101881 40.864775109925084),Strada,1068243,-73.928487221,40.8647751099,Active
POINT (-73.96273704602682 40.76560444715521),Strada,1074876,-73.962737046,40.7656044472,Active
POINT (-73.82543820288187 40.76079227777543),Strada,4063090,-73.8254382029,40.7607922778,Active
POINT (-73.90492600986528 40.70021438533397),Strada,4093041,-73.9049260099,40.7002143853,Active
POINT (-73.83593739088143 40.70741812169568),Strada,4023101,-73.8359373909,40.7074181217,Active
POINT (-73.84225357753445 40.72003244725927),Strada,4053065,-73.8422535775,40.7200324473,Active
POINT (-73.82765446023646 40.75358983238647),Strada,4063127,-73.8276544602,40.7535898324,Active
POINT (-73.71253040771032 40.73652711136252),Strada,4473132,-73.7125304077,40.7365271114,Active
POINT (-73.84121638210104 40.72049529713254),Strada,4053077,-73.8412163821,40.7204952971,Active
POINT (-73.86531553242853 40.676539876072724),Strada,3773007,-73.8653155324,40.6765398761,Active
POINT (-73.91967357172334 40.753563121579006),Strada,4343148,-73.9196735717,40.7535631216,Active
POINT (-73.81424111150349 40.79009847055792),Strada,4383121,-73.8142411115,40.7900984706,Active
POINT (-73.8191384466973 40.702363491699884),Strada,4323126,-73.8191384467,40.7023634917,Active
POINT (-73.76453887667701 40.69200594555766),Strada,4253107,-73.7645388767,40.6920059456,Active
POINT (-73.7372252609963 40.71756974295284),Strada,4733002,-73.737225261,40.717569743,Active
POINT (-73.95225936360208 40.68059411228059),Strada,3403027,-73.9522593636,40.6805941123,Active
POINT (-73.96327161152486 40.575478134162694),Strada,3723001,-73.9632716115,40.5754781342,Active
POINT (-73.98814440342167 40.76390599784734),Strada,1403006,-73.9881444034,40.7639059978,Planned
POINT (-73.95277199246286 40.587907797779394),Strada,3783003,-73.9527719925,40.5879077978,Active
POINT (-73.9759390356263 40.7564142575593),Strada,1433189,-73.9759390356,40.7564142576,Planned
POINT (-73.97408683121235 40.783694087062216),Strada,1033118,-73.9740868312,40.7836940871,Active
POINT (-73.84940076673811 40.90528729702781),Strada,2083070,-73.8494007667,40.905287297,Active
POINT (-73.8599288290913 40.83562012455807),Strada,2303010,-73.8599288291,40.8356201246,Active
POINT (-73.862151182252 40.83594247607422),Strada,2303024,-73.8621511823,40.8359424761,Active
POINT (-74.0268847190554 40.62179170671581),Strada,3093009,-74.0268847191,40.6217917067,Active
POINT (-73.75353354164217 40.60188956503948),Strada,4113118,-73.7535335416,40.601889565,Active
POINT (-73.84573816913037 40.78460641972438),Strada,4373108,-73.8457381691,40.7846064197,Active
POINT (-73.77258813993224 40.766809916180996),Strada,4213081,-73.7725881399,40.7668099162,Active
POINT (-73.77001669968324 40.76181970493594),Strada,4213058,-73.7700166997,40.7618197049,Active
POINT (-73.81954858403098 40.67420335084804),Strada,4483141,-73.819548584,40.6742033508,Active
POINT (-73.8257133493791 40.743457506807495),Strada,4513018,-73.8257133494,40.7434575068,Active
POINT (-73.78705442200467 40.74043360402072),Strada,4423121,-73.787054422,40.740433604,Active
POINT (-73.79305316177366 40.7254843022207),Strada,4433024,-73.7930531618,40.7254843022,Active
POINT (-73.86021313945132 40.83695590710385),Strada,2303005,-73.8602131395,40.8369559071,Active
POINT (-73.846771032718 40.721169373878325),Strada,4053048,-73.8467710327,40.7211693739,Active
POINT (-73.89417234688662 40.750735948312816),Strada,4123064,-73.8941723469,40.7507359483,Active
POINT (-73.96926265455537 40.65192034062445),Strada,3043221,-73.9692626546,40.6519203406,Active
POINT (-73.74959857362963 40.703963379759564),Strada,4253113,-73.7495985736,40.7039633798,Active
POINT (-73.99314096021487 40.60272324090251),Strada,3073025,-73.9931409602,40.6027232409,Active
POINT (-73.9160456047898 40.763804218477034),Strada,4833001,-73.9160456048,40.7638042185,Active
POINT (-74.01094735577979 40.62988678280133),Strada,3443003,-74.0109473558,40.6298867828,Active
POINT (-73.95915618168777 40.578181428145015),Strada,3083038,-73.9591561817,40.5781814281,Active
POINT (-73.72185141660299 40.7425792094414),Strada,4473116,-73.7218514166,40.7425792094,Active
POINT (-73.96464574713188 40.77321689113328),Strada,1183066,-73.9646457471,40.7732168911,Active
POINT (-73.99070652982135 40.77107166408802),Strada,1393028,-73.9907065298,40.7710716641,Active
POINT (-73.83840701813466 40.785948738531175),Strada,4373120,-73.8384070181,40.7859487385,Active
POINT (-73.9837167054443 40.746853883559496),Strada,1443640,-73.9837167054,40.7468538836,Active
POINT (-74.00909483512768 40.71759021883598),Strada,1113029,-74.0090948351,40.7175902188,Active
POINT (-73.96582523536853 40.77140050543481),Strada,1183019,-73.9658252354,40.7714005054,Active
POINT (-73.9612424476632 40.77738069727116),Strada,1183050,-73.9612424477,40.7773806973,Active
POINT (-73.95658771787052 40.74289209514198),Strada,4153005,-73.9565877179,40.7428920951,Active
POINT (-73.92770797523646 40.75303137516034),Strada,4343144,-73.9277079752,40.7530313752,Active
POINT (-73.81431397806847 40.788772603179304),Strada,4383117,-73.8143139781,40.7887726032,Active
POINT (-73.83212370118383 40.76295880266022),Strada,4063009,-73.8321237012,40.7629588027,Active
POINT (-73.88075920148239 40.88294037899152),Strada,2733001,-73.8807592015,40.882940379,Active
POINT (-73.86120680475736 40.837169838230544),Strada,2303020,-73.8612068048,40.8371698382,Active
POINT (-73.83077780853887 40.76332228862374),Strada,4063016,-73.8307778085,40.7633222886,Active
POINT (-73.9082678323425 40.703084981577675),Strada,4093073,-73.9082678323,40.7030849816,Active
POINT (-73.9148078774276 40.7642303039217),Strada,4073037,-73.9148078774,40.7642303039,Active
POINT (-73.90694661907756 40.70061808041098),Strada,4093037,-73.9069466191,40.7006180804,Active
POINT (-73.84655109613452 40.72285647171361),Strada,4053090,-73.8465510961,40.7228564717,Active
POINT (-73.82862574250422 40.755216348355475),Strada,4063124,-73.8286257425,40.7552163484,Active
POINT (-73.90707046762006 40.69985750310017),Strada,4093095,-73.9070704676,40.6998575031,Active
POINT (-73.75328326469565 40.602830191689165),Strada,4113117,-73.7532832647,40.6028301917,Active
POINT (-73.88765503404767 40.749450075948225),Strada,4123039,-73.887655034,40.7494500759,Active
POINT (-73.88849188154225 40.74936198029835),Strada,4123051,-73.8884918815,40.7493619803,Active
POINT (-73.9520818909794 40.790465761283365),Strada,1343002,-73.952081891,40.7904657613,Active
POINT (-73.91800034870145 40.76046124437019),Strada,4913002,-73.9180003487,40.7604612444,Active
POINT (-73.80743742665763 40.739056084051974),Strada,4423102,-73.8074374267,40.7390560841,Active
POINT (-73.90757243553958 40.75341502818837),Strada,4343105,-73.9075724355,40.7534150282,Active
POINT (-73.96384537145369 40.773619381010704),Strada,1183041,-73.9638453715,40.773619381,Active
POINT (-73.90256837945272 40.646480152204745),Strada,3863008,-73.9025683795,40.6464801522,Active
POINT (-73.9116664765377 40.77480806326011),Strada,4853004,-73.9116664765,40.7748080633,Active
POINT (-73.95285663621104 40.78842752530008),Strada,1273041,-73.9528566362,40.7884275253,Active
POINT (-73.8199270994163 40.70213934495097),Strada,4323128,-73.8199270994,40.702139345,Active
POINT (-74.00774805311846 40.71533609370561),Strada,1113050,-74.0077480531,40.7153360937,Active
POINT (-73.95674292097522 40.690699662000675),Strada,3403121,-73.956742921,40.690699662,Active
POINT (-73.99560027276674 40.57291136224931),Strada,3253025,-73.9956002728,40.5729113622,Active
POINT (-73.96364193407207 40.768598909587666),Strada,1193055,-73.9636419341,40.7685989096,Active
POINT (-73.89861082372198 40.700465001395976),Strada,4093070,-73.8986108237,40.7004650014,Active
POINT (-73.82583710449387 40.74860417615071),Strada,4513038,-73.8258371045,40.7486041762,Active
POINT (-73.81763120701864 40.70093619528776),Strada,4323131,-73.817631207,40.7009361953,Active
POINT (-73.92532297709386 40.75243855805314),Strada,4343130,-73.9253229771,40.7524385581,Active
POINT (-73.78915552868062 40.72683125905356),Strada,4433016,-73.7891555287,40.7268312591,Active
POINT (-73.86451371046806 40.72748931698847),Strada,4493103,-73.8645137105,40.727489317,Active
POINT (-73.90550120202585 40.70036388124636),Strada,4093034,-73.905501202,40.7003638812,Active
POINT (-73.84346828836686 40.72178354599167),Strada,4053086,-73.8434682884,40.721783546,Active
POINT (-73.82919734446331 40.75641135684398),Strada,4063118,-73.8291973445,40.7564113568,Active
POINT (-73.90515537470331 40.6994294311095),Strada,4093100,-73.9051553747,40.6994294311,Active
POINT (-73.91930469137647 40.81693582087797),Strada,2023026,-73.9193046914,40.8169358209,Active
POINT (-73.95663835845973 40.60983819236049),Strada,3053013,-73.9566383585,40.6098381924,Active
POINT (-73.82239732961494 40.76487951813505),Strada,4063043,-73.8223973296,40.7648795181,Active
POINT (-73.91083637225866 40.7008252254576),Strada,4093084,-73.9108363723,40.7008252255,Active
POINT (-73.9180373842701 40.76027324167807),Strada,4073043,-73.9180373843,40.7602732417,Active
POINT (-73.88667595113856 40.74955172958003),Strada,4123036,-73.8866759511,40.7495517296,Active
POINT (-73.88009481728693 40.75013413593012),Strada,4123048,-73.8800948173,40.7501341359,Active
POINT (-73.95281246154127 40.771969803550746),Strada,1263044,-73.9528124615,40.7719698036,Active
POINT (-73.98697283512661 40.72257979772371),Strada,1133089,-73.9869728351,40.7225797977,Inactive
POINT (-73.96616713671973 40.576503381580814),Strada,3083005,-73.9661671367,40.5765033816,Active
POINT (-73.9575541845992 40.578535456768016),Strada,3083033,-73.9575541846,40.5785354568,Active
POINT (-73.79172675499476 40.72538767295598),Strada,4433026,-73.791726755,40.725387673,Active
POINT (-73.91173654652755 40.76800925898),Strada,4073029,-73.9117365465,40.768009259,Active
POINT (-73.92158156096993 40.75591207538915),Strada,4073051,-73.921581561,40.7559120754,Active
POINT (-73.83497850668975 40.76209436135005),Strada,4063057,-73.8349785067,40.7620943614,Active
POINT (-73.90869501499697 40.69956607186312),Strada,4093090,-73.908695015,40.6995660719,Active
POINT (-73.90027889040867 40.70092309242295),Strada,4093063,-73.9002788904,40.7009230924,Active
POINT (-73.90844307871151 40.770820852715225),Strada,4183008,-73.9084430787,40.7708208527,Active
POINT (-73.87315428027847 40.75118962948932),Strada,4123008,-73.8731542803,40.7511896295,Active
POINT (-73.90525489327929 40.7002818554819),Strada,4093030,-73.9052548933,40.7002818555,Active
POINT (-73.9014504473359 40.700327350713685),Strada,4093052,-73.9014504473,40.7003273507,Active
POINT (-73.83043018322451 40.7087915201872),Strada,4023111,-73.8304301832,40.7087915202,Active
POINT (-73.84228467082146 40.721282502823136),Strada,4053082,-73.8422846708,40.7212825028,Active
POINT (-73.82769603160011 40.757031216370606),Strada,4063115,-73.8276960316,40.7570312164,Active
POINT (-73.83152161028141 40.75916583004974),Strada,4063139,-73.8315216103,40.75916583,Active
POINT (-73.91202382003141 40.700116088720954),Strada,4093104,-73.91202382,40.7001160887,Inactive
POINT (-73.91192148079797 40.753293602173834),Strada,4343121,-73.9119214808,40.7532936022,Active
POINT (-73.77302752188425 40.76646867647164),Strada,4213006,-73.7730275219,40.7664686765,Active
POINT (-73.8995945131527 40.70020073928984),Strada,4093068,-73.8995945132,40.7002007393,Active
POINT (-73.8310013426211 40.70857592549645),Strada,4023118,-73.8310013426,40.7085759255,Active
POINT (-73.84084305512113 40.71806680419876),Strada,4053071,-73.8408430551,40.7180668042,Active
POINT (-73.77048982200891 40.76240230334459),Strada,4213024,-73.770489822,40.7624023033,Active
POINT (-73.75334977737715 40.60196183781842),Strada,4113120,-73.7533497774,40.6019618378,Active
POINT (-73.9031363497163 40.70017777311695),Strada,4093047,-73.9031363497,40.7001777731,Active
POINT (-73.80663884772679 40.674922482950976),Strada,4483127,-73.8066388477,40.674922483,Active
POINT (-73.81190610076935 40.79015732066084),Strada,4383101,-73.8119061008,40.7901573207,Active
POINT (-73.86518455218193 40.72633204049204),Strada,4493110,-73.8651845522,40.7263320405,Active
POINT (-73.77140176017348 40.715766020833286),Strada,4243105,-73.7714017602,40.7157660208,Active
POINT (-73.81621738392258 40.70652774535271),Strada,4323115,-73.8162173839,40.7065277454,Active
POINT (-73.81960646943209 40.67677286443818),Strada,4483138,-73.8196064694,40.6767728644,Retired
POINT (-73.73567635501803 40.77026096903238),Strada,4333117,-73.735676355,40.770260969,Active
POINT (-73.78602363036244 40.727382106609404),Strada,4433037,-73.7860236304,40.7273821066,Active
POINT (-73.76958623558768 40.76086444812086),Strada,4213054,-73.7695862356,40.7608644481,Active
POINT (-73.73465431261343 40.77202162944658),Strada,4333132,-73.7346543126,40.7720216294,Active
POINT (-73.95850140067549 40.61875479976157),Strada,3823002,-73.9585014007,40.6187547998,Active
POINT (-73.73554807016752 40.666321350432206),Strada,4863002,-73.7355480702,40.6663213504,Active
POINT (-73.96375724616496 40.57537483434937),Strada,3723004,-73.9637572462,40.5753748343,Active
POINT (-73.7399986111519 40.676072040286485),Strada,4163119,-73.7399986112,40.6760720403,Active
POINT (-73.85754151744872 40.75815386736934),Strada,4273021,-73.8575415174,40.7581538674,Active
POINT (-73.8920504782821 40.825733092367074),Strada,2033024,-73.8920504783,40.8257330924,Active
POINT (-73.81670773551397 40.69265669820259),Strada,4293138,-73.8167077355,40.6926566982,Active
POINT (-73.92301725903948 40.690102086430855),Strada,3193093,-73.923017259,40.6901020864,Active
POINT (-73.92483779238773 40.739580160582506),Strada,4013129,-73.9248377924,40.7395801606,Active
POINT (-73.93024414676583 40.64940970315962),Strada,3163121,-73.9302441468,40.6494097032,Active
POINT (-73.94719675984842 40.80088436064983),Strada,1283026,-73.9471967598,40.8008843606,Active
POINT (-73.93905236105726 40.84186370132498),Strada,1058290,-73.9390523611,40.8418637013,Active
POINT (-73.96074637635694 40.772565459227344),Strada,1193026,-73.9607463764,40.7725654592,Active
POINT (-73.96333785190976 40.76872732949964),Strada,1193065,-73.9633378519,40.7687273295,Active
POINT (-73.95928906014144 40.76309905929256),Strada,1263019,-73.9592890601,40.7630990593,Active
POINT (-73.86081624717784 40.88741811979292),Strada,2083024,-73.8608162472,40.8874181198,Active
POINT (-73.90798949866354 40.7571410696618),Strada,4343118,-73.9079894987,40.7571410697,Active
POINT (-73.77219894994118 40.765274743898075),Strada,4213010,-73.7721989499,40.7652747439,Active
POINT (-73.85554634236613 40.896499300042436),Strada,2083055,-73.8555463424,40.8964993,Active
POINT (-73.91181045161558 40.88604818465867),Strada,2243030,-73.9118104516,40.8860481847,Active
POINT (-73.77099938709351 40.76269020010774),Strada,4213019,-73.7709993871,40.7626902001,Active
POINT (-73.77394968320199 40.67094386868495),Strada,4483123,-73.7739496832,40.6709438687,Active
POINT (-73.73432388643928 40.772209548604415),Strada,4333131,-73.7343238864,40.7722095486,Active
POINT (-73.86480595776038 40.72643805668683),Strada,4493107,-73.8648059578,40.7264380567,Active
POINT (-73.77930666457236 40.71363648015437),Strada,4243101,-73.7793066646,40.7136364802,Active
POINT (-73.81714986322905 40.70666432717847),Strada,4323119,-73.8171498632,40.7066643272,Active
POINT (-73.82002594210262 40.67794109866742),Strada,4483135,-73.8200259421,40.6779410987,Active
POINT (-73.7371098089829 40.76862278918049),Strada,4333114,-73.737109809,40.7686227892,Active
POINT (-73.78349034427771 40.72811302145257),Strada,4433040,-73.7834903443,40.7281130215,Active
POINT (-73.76845536850112 40.76059584750331),Strada,4213051,-73.7684553685,40.7605958475,Active
POINT (-73.96337605795122 40.76924923388206),Strada,1193053,-73.963376058,40.7692492339,Active
POINT (-73.86032485285723 40.8367001263083),Strada,2303006,-73.8603248529,40.8367001263,Active
POINT (-73.73612525546606 40.77077594903401),Strada,4333136,-73.7361252555,40.770775949,Active
POINT (-73.78029322833437 40.72968071376125),Strada,4433006,-73.7802932283,40.7296807138,Active
POINT (-74.00139861076448 40.60625963517678),Strada,3073095,-74.0013986108,40.6062596352,Active
POINT (-73.9096283061726 40.70035413289344),Strada,4093085,-73.9096283062,40.7003541329,Active
POINT (-73.91242425491947 40.70022124977913),Strada,4093109,-73.9124242549,40.7002212498,Inactive
POINT (-73.91355875222945 40.76576621937549),Strada,4073034,-73.9135587522,40.7657662194,Active
POINT (-73.8834747367254 40.75006066728157),Strada,4123029,-73.8834747367,40.7500606673,Active
POINT (-73.98811488192965 40.73499033441399),Strada,1453249,-73.9881148819,40.7349903344,Active
POINT (-73.99233687775667 40.73761116030338),Strada,1453295,-73.9923368778,40.7376111603,Active
POINT (-73.89136959178173 40.74894980193598),Strada,4123069,-73.8913695918,40.7489498019,Active
POINT (-73.98197030203602 40.61345516780621),Strada,3133003,-73.981970302,40.6134551678,Active
POINT (-73.92379896517298 40.752644192755376),Strada,4343104,-73.9237989652,40.7526441928,Active
POINT (-73.90521252380557 40.75714898576291),Strada,4343112,-73.9052125238,40.7571489858,Active
POINT (-73.9194391342321 40.75380833130058),Strada,4343127,-73.9194391342,40.7538083313,Active
POINT (-73.90402427715883 40.75324296466949),Strada,4343155,-73.9040242772,40.7532429647,Active
POINT (-73.7699125685321 40.76114669178459),Strada,4213029,-73.7699125685,40.7611466918,Active
POINT (-73.77039564896336 40.76363701385163),Strada,4213064,-73.770395649,40.7636370139,Active
POINT (-73.77093731715436 40.7642757124419),Strada,4213069,-73.7709373172,40.7642757124,Active
POINT (-73.77133824042332 40.76548658777796),Strada,4213075,-73.7713382404,40.7654865878,Active
POINT (-73.84230964256004 40.72043801432796),Strada,4053063,-73.8423096426,40.7204380143,Active
POINT (-73.91277224366912 40.76650551963828),Strada,4073024,-73.9127722437,40.7665055196,Active
POINT (-73.86594350091184 40.72108376998164),Strada,4493115,-73.8659435009,40.72108377,Active
POINT (-73.78881414503599 40.72680723363477),Strada,4433017,-73.788814145,40.7268072336,Active
POINT (-73.78018365115672 40.729202730204605),Strada,4433047,-73.7801836512,40.7292027302,Active
POINT (-73.81277307126803 40.78902747757704),Strada,4383108,-73.8127730713,40.7890274776,Active
POINT (-73.78517772964817 40.74094977864322),Strada,4423128,-73.7851777296,40.7409497786,Active
POINT (-73.82550091403112 40.7435018620742),Strada,4513024,-73.825500914,40.7435018621,Active
POINT (-73.8249763022238 40.746165633557446),Strada,4513030,-73.8249763022,40.7461656336,Active
POINT (-73.82340215760063 40.74769913120294),Strada,4513035,-73.8234021576,40.7476991312,Active
POINT (-73.71701594058052 40.735364345401436),Strada,4473134,-73.7170159406,40.7353643454,Active
